,pclass,deck,fare_range,sex,title,age_range,fam_size,embarked,survived
273,1,4,4,0,3,0,3,1,1
274,1,4,4,0,1,4,3,1,1
275,1,4,4,1,2,3,3,1,1
276,1,1,4,0,1,5,2,1,0
277,1,1,4,1,2,2,2,1,1
278,1,1,3,0,5,3,1,1,1
279,1,2,3,0,1,6,1,0,0
280,1,2,4,0,1,5,2,1,1
281,1,2,4,1,2,4,2,1,1
282,1,3,4,1,2,5,2,1,1
283,1,1,3,0,1,4,1,1,0
284,1,1,4,1,2,6,1,0,1
285,1,2,4,0,1,6,2,0,0
286,1,2,4,1,2,6,2,0,0
287,1,3,3,0,1,6,1,0,0
288,1,3,3,1,2,4,1,0,1
289,1,4,4,1,0,1,3,0,1
290,1,4,4,0,1,5,3,0,0
291,1,4,4,1,2,3,3,0,1
292,1,2,4,0,1,4,2,0,1
293,1,2,4,1,2,2,2,0,1
294,1,2,4,0,1,4,3,1,0
295,1,2,4,0,1,1,3,1,1
296,1,2,4,1,2,3,3,1,1
297,1,2,4,1,2,2,1,1,1
298,1,2,3,0,1,3,1,1,1
299,1,0,3,0,4,3,1,1,0
300,1,1,3,0,1,6,1,0,0
301,1,3,3,0,1,4,1,0,0
302,1,2,4,1,0,3,1,1,1
303,1,3,4,0,1,6,2,1,0
304,1,3,4,1,2,5,2,1,1
305,1,0,3,0,5,5,1,0,0
306,1,3,4,0,1,5,2,0,0
307,1,3,4,0,1,2,2,0,0
308,1,2,4,1,2,5,1,1,1
309,1,2,4,1,0,3,3,0,1
310,1,2,4,0,1,5,3,0,0
311,1,2,4,1,2,4,3,0,1
312,1,2,4,0,1,4,3,1,0
313,1,2,4,0,1,2,3,1,0
314,1,2,4,1,2,4,3,1,1
315,1,2,3,1,0,2,1,0,1
316,1,1,4,0,1,5,2,1,0
317,1,1,4,0,1,2,2,1,1
318,1,2,3,0,1,4,1,0,0
319,1,4,4,1,0,3,1,1,1
320,1,2,3,0,1,4,1,0,1
321,1,2,3,0,1,6,1,0,0
322,1,2,4,1,0,3,1,1,1
323,2,5,3,0,1,2,2,1,0
324,2,5,3,1,2,2,2,1,1
325,2,5,2,0,1,2,1,0,0
326,2,3,2,0,1,1,1,0,0
327,2,4,1,0,1,2,1,0,0
328,2,5,3,0,1,3,2,0,0
329,2,5,3,1,2,3,2,0,1
330,2,5,2,0,1,5,1,0,0
331,2,4,2,0,1,1,1,0,0
332,2,3,1,0,1,2,1,0,0
333,2,3,2,1,2,3,1,0,1
334,2,5,1,0,1,2,1,0,0
335,2,5,2,0,5,5,1,0,0
336,2,5,3,0,1,3,2,0,1
337,2,5,3,1,2,1,2,0,1
338,2,5,3,0,1,2,1,0,0
339,2,5,3,0,3,0,4,0,1
340,2,5,3,1,0,0,4,0,1
341,2,5,3,1,0,1,4,0,1
342,2,5,3,1,2,3,4,0,1
343,2,3,2,0,1,3,1,0,1
344,2,3,2,1,0,1,1,0,1
345,2,5,2,0,1,2,1,0,0
346,2,5,2,0,1,2,1,0,0
347,2,4,2,0,1,4,1,0,0
348,2,5,2,0,1,2,1,0,0
349,2,5,2,1,0,2,1,0,1
350,2,3,3,1,0,1,3,0,1
351,2,3,3,0,1,5,3,0,0
352,2,3,3,1,2,3,3,0,1
353,2,5,3,1,0,1,2,0,1
354,2,5,3,0,1,2,2,0,0
355,2,5,2,1,0,3,1,0,1
356,2,3,2,0,1,2,1,0,0
357,2,4,2,0,5,4,1,0,0
358,2,3,2,1,2,4,1,0,1
359,2,5,3,0,3,0,3,0,1
360,2,5,3,0,1,2,3,0,1
361,2,5,3,1,2,2,3,0,1
362,2,3,2,1,0,3,1,0,1
363,2,4,0,0,1,1,1,0,0
364,2,4,2,0,1,1,1,0,0
365,2,4,3,1,2,4,2,0,0
366,2,4,3,0,5,5,2,0,0
367,2,5,2,0,1,5,1,0,0
368,2,4,3,0,1,3,2,0,0
369,2,4,3,1,2,2,2,0,0
370,2,5,3,1,0,2,3,0,1
371,2,5,3,1,2,4,3,0,1
372,2,4,3,0,1,2,2,0,0
373,2,4,3,1,2,2,2,0,1
374,2,5,1,0,1,2,1,0,0
375,2,5,2,0,1,2,1,0,0
376,2,4,1,0,1,2,1,0,1
377,2,5,3,1,0,0,3,0,1
378,2,5,3,0,1,3,3,0,0
379,2,5,3,1,2,3,3,0,1
380,2,5,1,1,2,2,1,0,1
381,2,5,2,1,2,2,1,0,0
382,2,4,2,1,2,2,1,0,0
383,2,3,2,0,1,2,1,0,0
384,2,4,0,0,1,1,1,0,0
385,2,4,3,0,3,0,3,0,1
386,2,3,4,0,1,1,1,0,0
387,2,4,3,1,2,4,3,0,1
388,2,4,2,1,0,2,1,0,1
389,2,4,2,0,1,3,1,0,0
390,2,3,4,0,1,1,1,0,0
391,2,4,3,0,1,2,2,1,0
392,2,4,3,1,2,2,2,1,1
393,2,5,3,0,1,2,1,0,0
394,2,3,4,0,1,1,1,0,0
395,2,5,3,1,0,1,2,0,1
396,2,5,3,1,2,3,2,0,1
397,2,5,3,0,1,5,1,0,0
398,2,5,3,0,3,0,3,0,1
399,2,5,3,0,1,4,3,0,0
400,2,5,3,1,2,3,3,0,1
401,2,5,2,1,0,2,2,1,1
402,2,5,2,1,0,2,2,1,1
403,2,5,2,0,1,2,1,0,0
404,2,5,2,0,1,2,1,0,0
405,2,3,2,0,1,1,1,0,0
406,2,5,3,0,1,3,2,0,0
407,2,5,3,1,2,2,2,0,1
408,2,5,1,0,1,1,1,0,0
409,2,3,2,0,1,3,1,0,0
410,2,5,0,0,1,1,1,0,0
411,2,5,2,1,0,3,1,0,0
412,2,5,3,0,1,3,1,0,0
413,2,5,2,0,1,3,2,0,0
414,2,5,2,0,1,3,2,0,0
415,2,5,2,1,0,3,1,0,1
416,2,5,3,0,1,1,1,0,0
417,2,5,1,0,1,2,1,0,0
418,2,3,1,0,1,4,1,0,0
419,2,5,2,0,1,2,2,0,0
420,2,5,2,0,1,2,2,0,0
421,2,5,2,0,1,2,1,0,0
422,2,5,2,0,1,2,1,0,0
423,2,5,2,0,1,3,1,0,0
424,2,5,2,0,1,2,1,0,0
425,2,5,2,0,1,5,1,0,0
426,2,3,2,0,1,2,1,0,0
427,2,3,2,0,3,0,3,0,1
428,2,3,2,1,2,2,3,0,1
429,2,5,2,0,1,4,1,0,0
430,2,5,3,1,0,0,2,0,1
431,2,5,3,0,5,2,2,0,0
432,2,5,1,0,1,6,1,0,1
433,2,3,1,0,1,2,1,0,0
434,2,5,3,1,0,0,3,0,1
435,2,5,3,0,1,4,3,0,0
436,2,5,3,1,2,4,3,0,1
437,2,4,4,1,0,2,4,0,1
438,2,4,4,1,0,2,4,0,1
439,2,4,4,0,1,4,4,0,0
440,2,4,4,1,2,4,4,0,1
441,2,3,2,1,2,5,1,0,1
442,2,3,4,0,1,2,3,0,0
443,2,3,4,0,1,3,3,0,0
444,2,3,4,0,1,2,3,0,0
445,2,5,2,1,0,1,3,0,0
446,2,3,3,1,0,1,4,0,1
447,2,5,2,0,1,2,4,0,0
448,2,5,2,0,1,3,1,0,0
449,2,3,3,1,2,5,5,0,1
450,2,5,2,0,1,4,1,0,0
451,2,5,3,0,1,4,2,0,0
452,2,5,3,1,2,2,2,0,1
453,2,3,4,0,1,2,1,0,0
454,2,4,2,0,1,4,1,0,1
455,2,3,3,0,1,6,2,0,0
456,2,3,3,1,2,5,2,0,0
457,2,5,2,0,1,3,1,0,0
458,2,5,1,1,0,1,1,0,1
459,2,4,3,0,1,4,2,0,0
460,2,4,3,1,2,2,4,0,1
461,2,3,2,0,1,4,1,0,0
462,2,5,3,0,1,2,3,0,0
463,2,5,3,0,1,2,3,0,0
464,2,3,1,0,1,3,1,0,0
465,2,3,2,1,2,2,1,1,1
466,2,5,3,0,1,3,2,0,0
467,2,5,3,1,2,2,2,0,1
468,2,4,2,1,2,2,1,0,0
469,2,4,2,1,0,2,1,2,1
470,2,5,2,0,1,3,1,2,0
471,2,3,2,1,2,4,1,0,1
472,2,4,2,0,5,5,1,2,0
473,2,5,0,0,1,1,1,0,0
474,2,5,1,0,1,3,1,0,0
475,2,5,3,1,2,2,3,0,0
476,2,5,3,0,5,2,3,0,0
477,2,5,2,0,1,1,1,2,0
478,2,3,3,1,0,0,4,1,1
479,2,3,3,1,0,0,4,1,1
480,2,3,3,0,1,2,4,1,0
481,2,3,3,1,2,2,4,1,1
482,2,4,2,1,0,1,1,1,1
483,2,5,3,1,0,2,1,0,1
484,2,5,1,1,2,3,1,0,1
485,2,3,2,0,1,3,1,1,0
486,2,5,1,0,1,2,1,0,0
487,2,4,2,0,1,6,1,2,0
488,2,5,3,0,1,4,2,0,0
489,2,5,3,1,2,4,2,0,1
490,2,4,1,1,2,5,1,0,0
491,2,3,2,0,1,1,1,1,0
492,2,5,3,0,3,0,3,1,1
493,2,5,3,0,1,3,3,1,0
494,2,5,3,1,2,2,3,1,1
495,2,5,2,0,1,1,1,1,0
496,2,5,2,0,1,2,1,0,0
497,2,5,2,0,1,3,1,0,0
498,2,5,2,0,1,3,1,0,0
499,2,5,2,0,1,2,1,0,0
500,2,5,3,0,1,4,1,0,0
501,2,3,2,1,0,1,2,0,1
502,2,3,2,1,2,4,2,0,1
503,2,3,1,0,1,1,1,0,1
504,2,5,2,0,1,3,1,0,0
505,2,5,2,0,1,4,1,0,0
506,2,5,1,0,1,6,1,0,0
507,2,4,2,0,5,2,1,0,0
508,2,3,2,0,5,5,1,0,0
509,2,5,3,0,1,3,1,0,0
510,2,5,1,0,1,1,1,0,0
511,2,5,1,0,1,6,1,2,0
512,2,3,3,0,1,3,2,1,0
513,2,3,3,1,2,1,2,1,1
514,2,5,3,0,3,0,3,0,1
515,2,5,3,0,3,0,3,0,1
516,2,5,3,0,1,3,3,0,0
517,2,5,2,0,1,2,1,0,0
518,2,4,3,0,1,1,3,0,0
519,2,5,2,0,1,2,1,0,0
520,2,3,2,0,1,1,1,1,1
521,2,5,1,1,2,2,1,0,1
522,2,3,2,0,1,3,1,0,0
523,2,5,1,0,1,2,1,0,1
524,2,5,2,0,1,1,1,1,1
525,2,4,1,0,5,2,1,0,0
526,2,5,2,0,1,2,1,1,1
527,2,5,1,0,1,2,1,0,0
528,2,4,0,0,1,1,1,0,0
529,2,3,3,1,2,4,2,0,1
530,2,3,1,0,1,1,1,0,0
531,2,3,2,0,1,1,1,1,0
532,2,3,2,0,5,4,1,0,0
533,2,5,2,1,0,2,2,0,1
534,2,5,3,1,0,1,1,0,1
535,2,5,2,0,1,4,2,0,0
536,2,5,2,1,2,3,1,0,1
537,2,5,2,0,1,3,1,0,0
538,2,5,2,0,1,2,1,1,1
539,2,5,2,0,1,2,1,1,0
540,2,5,3,1,0,0,3,0,1
541,2,5,3,1,0,0,3,0,1
542,2,5,3,1,2,3,3,0,1
543,2,3,1,0,1,3,1,0,0
544,2,5,2,0,1,3,2,0,0
545,2,5,2,1,2,2,4,0,1
546,2,4,2,1,0,2,1,0,1
547,2,5,2,0,1,2,1,1,0
548,2,4,2,0,3,0,3,0,1
549,2,4,2,0,3,0,3,0,1
550,2,4,2,1,2,2,6,0,1
551,2,5,1,1,0,4,1,0,1
552,2,5,1,0,1,1,1,0,0
553,2,5,1,1,0,2,1,0,1
554,2,5,2,0,1,2,1,0,0
555,2,4,2,0,1,2,1,0,0
556,2,5,3,0,1,2,1,0,0
557,2,3,3,1,2,2,2,0,1
558,2,3,2,1,0,1,3,0,1
559,2,4,3,1,0,1,1,0,1
560,2,5,2,1,0,2,1,0,1
561,2,3,2,0,1,5,1,0,0
562,2,5,2,1,0,2,1,2,1
563,2,4,1,0,1,3,1,0,0
564,2,5,2,1,0,3,1,0,1
565,2,5,2,0,1,2,1,0,0
566,2,5,2,0,1,4,1,1,0
567,2,4,1,0,1,2,1,0,0
568,2,5,2,0,1,1,1,0,0
569,2,4,4,0,1,1,1,0,0
570,2,5,1,1,0,4,1,0,1
571,2,3,2,0,1,2,1,0,0
572,2,5,2,1,2,2,1,0,1
573,2,4,1,1,0,2,1,0,1
574,2,5,2,0,1,2,2,0,0
575,2,5,2,1,2,2,2,0,0
576,2,3,2,0,1,3,1,0,0
577,2,3,2,1,0,3,1,0,1
578,2,5,2,0,1,2,2,0,0
579,2,3,1,0,1,2,2,0,0
580,2,5,2,1,2,3,1,0,1
581,2,5,0,0,1,1,1,0,0
582,2,5,2,1,0,1,1,0,1
583,2,5,2,1,2,3,1,0,1
584,2,4,2,1,0,3,1,0,1
585,2,3,3,0,1,2,2,0,0
586,2,3,3,1,2,2,2,0,1
587,2,5,3,0,3,0,3,0,1
588,2,5,3,1,0,0,3,0,1
589,2,5,3,1,2,2,3,0,1
590,2,3,3,1,0,0,4,0,1
591,2,3,3,1,0,0,4,0,1
592,2,3,3,0,1,3,4,0,0
593,2,3,3,1,2,3,4,0,1
594,2,4,1,0,1,6,1,0,0
595,2,4,2,0,1,1,1,0,0
596,2,5,2,0,1,3,1,0,1
597,2,5,2,0,1,1,1,0,1
598,2,3,2,1,0,2,1,0,1
599,2,4,2,1,0,2,1,0,0
600,3,5,0,0,1,4,1,0,0
601,3,6,2,0,3,1,3,0,0
602,3,6,2,0,1,1,3,0,0
603,3,6,2,1,2,3,3,0,1
604,3,6,0,1,0,1,1,0,1
605,3,5,0,0,1,2,1,0,1
606,3,5,1,0,1,1,1,0,1
607,3,5,0,1,2,1,1,1,1
608,3,5,0,0,1,2,1,0,0
609,3,5,1,0,1,2,1,0,0
610,3,6,1,1,2,3,2,0,0
611,3,5,1,0,3,0,2,0,1
612,3,5,1,1,2,1,2,0,1
613,3,4,2,0,1,2,1,1,1
614,3,5,1,0,1,2,1,0,0
615,3,5,1,0,1,1,1,0,0
616,3,5,0,0,1,2,1,0,0
617,3,5,0,0,1,2,1,0,0
618,3,4,1,0,1,3,1,0,0
619,3,4,1,0,1,1,1,0,0
620,3,5,3,0,1,3,1,0,0
621,3,5,0,1,0,1,2,0,1
622,3,5,3,0,3,0,7,0,0
623,3,5,3,1,0,0,7,0,0
624,3,5,3,1,0,0,7,0,0
625,3,4,1,1,0,1,7,0,1
626,3,5,0,1,0,3,7,0,0
627,3,5,3,1,0,0,7,0,0
628,3,5,3,1,0,1,7,0,0
629,3,5,3,0,1,3,7,0,0
630,3,5,0,0,1,2,1,0,1
631,3,5,0,0,1,2,1,0,0
632,3,5,3,1,2,3,7,0,0
633,3,5,0,0,1,1,1,0,0
634,3,6,1,0,1,2,1,0,0
635,3,4,2,0,1,2,2,0,0
636,3,4,2,1,2,1,2,0,0
637,3,6,0,0,1,2,1,0,0
638,3,5,0,0,1,3,1,0,0
639,3,4,3,0,3,0,7,0,0
640,3,4,3,0,3,0,7,0,0
641,3,4,3,0,3,0,7,0,1
642,3,4,3,0,3,1,7,0,0
643,3,4,3,1,0,0,7,0,1
644,3,4,3,0,1,3,7,0,0
645,3,6,0,0,1,2,1,0,1
646,3,4,3,1,2,3,7,0,1
647,3,4,0,1,2,4,1,1,1
648,3,6,0,0,1,2,1,1,0
649,3,5,0,0,1,2,1,0,0
650,3,5,2,1,0,1,1,1,0
651,3,5,0,0,1,2,1,1,0
652,3,6,0,0,1,2,1,0,0
653,3,6,0,1,0,1,1,1,1
654,3,5,0,0,1,1,1,1,0
655,3,6,2,0,1,3,2,0,0
656,3,6,2,1,2,3,4,0,1
657,3,5,2,1,0,0,4,1,1
658,3,5,2,1,0,0,4,1,1
659,3,5,2,1,0,0,4,1,1
660,3,5,2,1,2,2,4,1,1
661,3,5,1,1,0,1,1,0,1
662,3,6,0,0,1,3,1,1,0
663,3,6,1,0,1,2,1,0,0
664,3,6,0,0,1,1,1,1,1
665,3,5,2,1,0,1,2,1,0
666,3,5,2,1,2,4,2,1,0
667,3,6,1,1,0,2,1,2,0
668,3,6,1,0,1,2,1,0,0
669,3,6,1,0,1,1,1,0,0
670,3,5,0,0,1,2,1,0,0
671,3,4,1,0,1,2,1,0,0
672,3,6,0,0,3,2,1,1,0
673,3,6,0,0,1,1,1,1,0
674,3,6,4,0,1,3,1,0,1
675,3,5,0,0,1,2,1,0,0
676,3,5,0,0,1,1,1,0,0
677,3,4,1,0,1,2,1,0,0
678,3,5,2,0,3,0,3,1,0
679,3,5,2,1,0,0,3,1,0
680,3,5,0,0,1,2,1,1,0
681,3,5,2,1,2,1,3,1,0
682,3,6,0,1,0,1,3,2,0
683,3,4,2,0,1,3,3,2,0
684,3,4,2,1,2,3,3,2,0
685,3,6,2,0,1,2,1,0,0
686,3,4,0,1,0,2,1,2,1
687,3,6,0,1,0,1,1,0,0
688,3,6,0,0,1,2,2,0,0
689,3,4,0,0,1,2,2,0,0
690,3,4,0,0,1,2,1,0,0
691,3,5,1,0,1,3,1,0,0
692,3,6,0,1,0,1,1,2,0
693,3,4,0,0,1,2,1,2,1
694,3,5,0,0,1,1,1,2,0
695,3,6,1,1,0,1,1,2,0
