,pclass,sex,embarked,survived,deck,title,age_range,fare_range,fam_size
61,1,1,0,1,2,2,7,4,2
62,1,0,0,0,4,1,4,4,2
63,1,1,0,1,4,2,4,4,2
64,1,0,0,1,4,1,2,4,2
65,1,1,0,1,4,2,3,4,2
66,1,1,1,1,1,0,3,4,1
67,1,1,0,1,1,0,2,4,1
68,1,0,1,1,0,1,4,3,1
69,1,1,0,1,4,2,2,4,2
70,1,0,0,0,2,1,4,0,1
71,1,0,1,0,2,1,2,4,2
72,1,1,1,1,2,2,2,4,2
73,1,1,0,1,1,0,2,4,1
74,1,0,0,0,0,1,4,4,1
75,1,0,0,0,4,1,4,3,1
76,1,1,1,1,4,0,3,4,3
77,1,0,1,0,4,1,3,4,3
78,1,1,1,1,4,2,6,4,3
79,1,1,0,1,2,2,5,3,3
80,1,0,0,0,1,1,4,3,1
81,1,0,0,0,1,5,6,4,3
82,1,1,0,1,1,0,3,4,3
83,1,1,0,1,1,2,6,3,3
84,1,0,1,0,2,1,3,4,2
85,1,1,1,1,2,2,3,4,2
86,1,0,0,1,4,1,5,3,1
87,1,0,0,1,2,1,2,3,1
88,1,1,0,1,1,0,3,4,1
89,1,0,0,0,1,1,3,4,2
90,1,1,0,1,1,2,2,4,4
91,1,0,0,1,1,1,3,4,2
92,1,1,0,1,1,2,1,4,2
93,1,0,0,1,0,5,5,4,3
94,1,0,0,1,0,3,0,4,3
95,1,1,0,1,0,2,5,4,3
96,1,0,1,0,2,1,4,4,2
97,1,1,1,1,1,2,2,4,3
98,1,1,1,1,2,2,4,4,2
99,1,1,1,1,0,4,4,3,2
100,1,0,1,1,0,4,4,4,2
101,1,0,1,0,0,1,3,3,1
102,1,1,1,1,2,2,2,4,2
103,1,1,1,1,2,0,3,4,1
104,1,1,1,1,3,0,5,4,2
105,1,1,1,0,0,0,3,3,1
106,1,0,0,0,2,1,4,4,1
107,1,1,0,1,2,2,2,3,1
108,1,1,1,1,2,0,2,4,1
109,1,0,0,1,4,1,3,3,1
110,1,0,1,0,2,1,2,3,1
111,1,1,0,1,2,0,2,4,6
112,1,1,0,1,2,0,2,4,6
113,1,1,0,1,2,0,2,4,6
114,1,0,0,0,2,1,1,4,6
115,1,0,0,0,2,1,6,4,6
116,1,1,0,1,2,2,5,4,6
117,1,1,1,1,4,0,2,4,1
118,1,0,0,0,3,1,4,3,1
119,1,0,0,1,4,5,4,4,3
120,1,0,1,1,3,1,4,3,2
121,1,1,0,1,4,2,2,4,2
122,1,1,1,1,1,0,2,4,3
123,1,0,1,1,1,1,5,4,3
124,1,1,1,1,1,2,4,4,3
125,1,0,0,0,1,1,4,0,1
126,1,0,0,0,2,1,3,4,2
127,1,1,0,1,2,2,3,4,2
128,1,0,0,0,4,1,4,3,1
129,1,1,1,1,2,0,3,4,1
130,1,1,1,1,4,0,2,4,2
131,1,1,1,1,4,2,4,4,2
132,1,0,1,0,1,1,2,4,1
133,1,0,1,1,2,1,4,4,2
134,1,1,1,1,2,2,2,4,2
135,1,0,1,0,0,1,7,3,1
136,1,0,1,1,2,5,5,3,1
137,1,1,0,1,1,0,1,3,1
138,1,0,0,0,2,1,3,4,2
139,1,1,0,1,2,2,5,4,2
140,1,0,1,1,3,1,2,4,2
141,1,1,1,1,3,2,4,4,2
142,1,0,1,0,1,1,4,4,1
143,1,0,1,1,4,1,2,4,2
144,1,1,1,1,4,2,2,4,2
145,1,0,1,1,3,1,4,4,2
146,1,1,1,1,3,2,4,4,2
147,1,0,0,0,3,1,4,4,1
148,1,0,0,0,2,1,4,4,2
149,1,1,0,1,2,2,3,4,2
150,1,0,0,0,1,1,3,0,1
151,1,0,1,1,3,1,2,4,1
152,1,0,0,1,3,1,4,3,1
153,1,1,1,1,2,0,2,4,1
154,1,0,0,0,1,1,5,4,3
155,1,1,0,1,1,2,5,4,3
156,1,0,0,0,1,1,4,4,1
157,1,0,0,0,4,1,4,4,1
158,1,0,0,0,2,1,5,4,1
159,1,1,1,1,1,0,1,4,2
160,1,1,1,1,1,2,4,4,2
161,1,1,0,1,3,2,5,4,2
162,1,0,0,0,3,1,4,4,2
163,1,1,0,1,3,2,3,4,2
164,1,0,1,1,2,1,3,3,1
165,1,0,0,1,2,1,3,4,2
166,1,0,1,0,1,1,4,3,1
167,1,1,0,1,2,2,3,4,2
168,1,1,0,1,1,0,3,4,1
169,1,1,1,0,2,0,4,3,1
170,1,0,0,1,1,1,4,0,1
171,1,0,0,0,1,1,4,3,1
172,1,0,0,0,4,1,4,3,1
173,1,0,1,0,2,1,3,4,1
174,1,0,1,0,1,1,5,3,1
175,1,0,0,0,3,1,4,4,2
176,1,1,0,1,3,2,2,4,2
177,1,0,0,1,3,1,4,4,2
178,1,1,0,1,3,2,4,4,2
179,1,0,0,0,2,1,4,3,1
180,1,1,0,1,2,0,3,4,1
181,1,1,0,1,3,5,4,3,1
182,1,1,1,1,2,0,2,4,1
183,1,0,1,1,1,1,3,4,1
184,1,0,1,0,3,1,4,3,1
185,1,0,0,0,1,1,4,3,1
186,1,1,1,1,2,2,5,3,1
187,1,1,0,1,3,0,1,3,2
188,1,1,0,1,3,2,5,3,2
189,1,0,0,0,3,1,2,3,1
190,1,1,0,1,3,0,2,4,1
191,1,0,0,0,2,1,2,4,1
192,1,1,1,1,1,0,5,4,1
193,1,1,0,1,1,0,1,4,2
194,1,0,0,0,2,1,2,3,1
195,1,1,0,1,1,0,1,4,1
196,1,0,1,1,2,1,4,3,1
197,1,0,0,0,3,1,1,4,2
198,1,1,0,1,3,2,1,4,2
199,1,1,1,1,2,2,2,4,1
200,1,0,1,0,2,1,4,4,1
201,1,0,0,0,4,1,5,4,1
202,1,0,0,1,4,1,3,3,1
203,1,0,1,0,4,1,2,4,2
204,1,1,1,1,4,2,2,4,2
205,1,0,0,0,4,1,6,3,1
206,1,0,2,0,2,5,4,4,3
207,1,1,2,1,2,0,3,4,2
208,1,1,2,1,2,2,3,4,2
209,1,0,1,1,2,1,2,4,2
210,1,0,0,0,2,1,5,3,1
211,1,0,0,0,3,1,4,4,1
212,1,0,1,0,2,1,3,3,2
213,1,1,1,1,3,0,3,4,2
214,1,1,1,1,3,0,2,4,2
215,1,0,1,0,3,1,5,4,3
216,1,1,0,1,3,0,1,3,3
217,1,0,0,0,4,1,6,3,1
218,1,1,1,1,2,4,3,4,1
219,1,0,1,1,2,1,4,3,1
220,1,1,1,1,1,0,2,4,2
221,1,0,1,0,1,1,6,4,2
222,1,0,1,0,3,1,2,3,1
223,1,0,0,0,1,1,4,0,1
224,1,0,0,0,2,1,4,3,1
225,1,0,0,0,1,1,2,4,1
226,1,0,0,0,2,1,2,4,2
227,1,1,0,1,2,2,2,4,2
228,1,0,1,0,2,1,1,4,2
229,1,1,1,1,2,2,1,4,2
230,1,1,0,1,1,0,2,4,1
231,1,0,0,1,2,5,5,3,1
232,1,0,0,0,2,1,4,4,1
233,1,1,1,1,2,2,5,4,2
234,1,0,0,0,2,4,3,0,1
235,1,0,0,1,3,1,4,3,1
236,1,0,1,0,2,1,2,4,1
237,1,0,1,0,2,1,4,4,1
238,1,1,0,1,1,2,4,4,2
239,1,0,0,0,0,1,3,4,1
240,1,0,0,1,1,1,4,3,1
241,1,0,0,0,0,1,4,4,1
242,1,1,1,1,0,0,3,3,1
243,1,0,1,0,2,1,4,4,1
244,1,0,1,0,0,1,3,3,1
245,1,1,0,1,1,4,3,4,1
246,1,0,1,0,1,1,5,4,2
247,1,1,1,1,1,2,5,4,2
248,1,0,0,0,0,1,3,3,1
249,1,0,1,1,1,3,1,4,5
250,1,1,1,1,1,0,1,4,5
251,1,1,1,1,1,0,2,4,5
252,1,0,1,0,1,1,6,4,5
253,1,1,1,1,1,2,4,4,5
254,1,0,0,1,2,1,4,3,1
255,1,1,1,1,1,2,2,4,1
256,1,0,0,1,1,1,4,3,1
257,1,1,1,1,2,2,3,4,2
258,1,1,1,1,3,0,2,3,1
259,1,0,0,1,2,1,3,3,1
260,1,1,0,1,2,0,3,4,1
261,1,0,0,1,4,1,3,3,1
262,1,0,0,0,4,1,4,4,2
263,1,1,0,1,4,2,3,4,2
264,1,0,1,1,0,5,5,3,1
265,1,0,0,1,0,1,2,3,1
266,1,0,0,0,0,1,5,3,1
267,1,0,1,0,0,1,5,3,1
268,1,0,0,0,2,1,2,4,2
269,1,0,0,0,0,1,4,3,1
270,1,1,0,1,2,2,1,4,2
271,1,0,0,1,1,1,2,4,2
272,1,1,0,1,1,2,2,4,2
273,1,0,1,1,4,3,0,4,3
274,1,0,1,1,4,1,4,4,3
275,1,1,1,1,4,2,3,4,3
276,1,0,1,0,1,1,5,4,2
277,1,1,1,1,1,2,2,4,2
278,1,0,1,1,1,5,3,3,1
279,1,0,0,0,2,1,6,3,1
280,1,0,1,1,2,1,5,4,2
281,1,1,1,1,2,2,4,4,2
282,1,1,1,1,3,2,5,4,2
283,1,0,1,0,1,1,4,3,1
284,1,1,0,1,1,2,6,4,1
285,1,0,0,0,2,1,6,4,2
286,1,1,0,0,2,2,6,4,2
287,1,0,0,0,3,1,6,3,1
288,1,1,0,1,3,2,4,3,1
289,1,1,0,1,4,0,1,4,3
290,1,0,0,0,4,1,5,4,3
291,1,1,0,1,4,2,3,4,3
292,1,0,0,1,2,1,4,4,2
293,1,1,0,1,2,2,2,4,2
294,1,0,1,0,2,1,4,4,3
295,1,0,1,1,2,1,1,4,3
296,1,1,1,1,2,2,3,4,3
297,1,1,1,1,2,2,2,4,1
298,1,0,1,1,2,1,3,3,1
299,1,0,1,0,0,4,3,3,1
300,1,0,0,0,1,1,6,3,1
301,1,0,0,0,3,1,4,3,1
302,1,1,1,1,2,0,3,4,1
303,1,0,1,0,3,1,6,4,2
304,1,1,1,1,3,2,5,4,2
305,1,0,0,0,0,5,5,3,1
306,1,0,0,0,3,1,5,4,2
307,1,0,0,0,3,1,2,4,2
308,1,1,1,1,2,2,5,4,1
309,1,1,0,1,2,0,3,4,3
310,1,0,0,0,2,1,5,4,3
311,1,1,0,1,2,2,4,4,3
312,1,0,1,0,2,1,4,4,3
313,1,0,1,0,2,1,2,4,3
314,1,1,1,1,2,2,4,4,3
315,1,1,0,1,2,0,2,3,1
316,1,0,1,0,1,1,5,4,2
317,1,0,1,1,1,1,2,4,2
318,1,0,0,0,2,1,4,3,1
319,1,1,1,1,4,0,3,4,1
320,1,0,0,1,2,1,4,3,1
321,1,0,0,0,2,1,6,3,1
322,1,1,1,1,2,0,3,4,1
323,2,0,1,0,5,1,2,3,2
324,2,1,1,1,5,2,2,3,2
325,2,0,0,0,5,1,2,2,1
326,2,0,0,0,3,1,1,2,1
327,2,0,0,0,4,1,2,1,1
328,2,0,0,0,5,1,3,3,2
329,2,1,0,1,5,2,3,3,2
330,2,0,0,0,5,1,5,2,1
331,2,0,0,0,4,1,1,2,1
332,2,0,0,0,3,1,2,1,1
333,2,1,0,1,3,2,3,2,1
334,2,0,0,0,5,1,2,1,1
335,2,0,0,0,5,5,5,2,1
336,2,0,0,1,5,1,3,3,2
337,2,1,0,1,5,2,1,3,2
338,2,0,0,0,5,1,2,3,1
339,2,0,0,1,5,3,0,3,4
340,2,1,0,1,5,0,0,3,4
341,2,1,0,1,5,0,1,3,4
342,2,1,0,1,5,2,3,3,4
343,2,0,0,1,3,1,3,2,1
344,2,1,0,1,3,0,1,2,1
345,2,0,0,0,5,1,2,2,1
346,2,0,0,0,5,1,2,2,1
347,2,0,0,0,4,1,4,2,1
348,2,0,0,0,5,1,2,2,1
349,2,1,0,1,5,0,2,2,1
350,2,1,0,1,3,0,1,3,3
351,2,0,0,0,3,1,5,3,3
352,2,1,0,1,3,2,3,3,3
353,2,1,0,1,5,0,1,3,2
354,2,0,0,0,5,1,2,3,2
355,2,1,0,1,5,0,3,2,1
356,2,0,0,0,3,1,2,2,1
357,2,0,0,0,4,5,4,2,1
358,2,1,0,1,3,2,4,2,1
359,2,0,0,1,5,3,0,3,3
360,2,0,0,1,5,1,2,3,3
361,2,1,0,1,5,2,2,3,3
362,2,1,0,1,3,0,3,2,1
363,2,0,0,0,4,1,1,0,1
364,2,0,0,0,4,1,1,2,1
365,2,1,0,0,4,2,4,3,2
366,2,0,0,0,4,5,5,3,2
367,2,0,0,0,5,1,5,2,1
368,2,0,0,0,4,1,3,3,2
369,2,1,0,0,4,2,2,3,2
370,2,1,0,1,5,0,2,3,3
371,2,1,0,1,5,2,4,3,3
372,2,0,0,0,4,1,2,3,2
373,2,1,0,1,4,2,2,3,2
374,2,0,0,0,5,1,2,1,1
375,2,0,0,0,5,1,2,2,1
376,2,0,0,1,4,1,2,1,1
377,2,1,0,1,5,0,0,3,3
378,2,0,0,0,5,1,3,3,3
379,2,1,0,1,5,2,3,3,3
380,2,1,0,1,5,2,2,1,1
381,2,1,0,0,5,2,2,2,1
382,2,1,0,0,4,2,2,2,1
383,2,0,0,0,3,1,2,2,1
384,2,0,0,0,4,1,1,0,1
385,2,0,0,1,4,3,0,3,3
386,2,0,0,0,3,1,1,4,1
387,2,1,0,1,4,2,4,3,3
388,2,1,0,1,4,0,2,2,1
389,2,0,0,0,4,1,3,2,1
390,2,0,0,0,3,1,1,4,1
391,2,0,1,0,4,1,2,3,2
392,2,1,1,1,4,2,2,3,2
393,2,0,0,0,5,1,2,3,1
394,2,0,0,0,3,1,1,4,1
395,2,1,0,1,5,0,1,3,2
396,2,1,0,1,5,2,3,3,2
397,2,0,0,0,5,1,5,3,1
398,2,0,0,1,5,3,0,3,3
399,2,0,0,0,5,1,4,3,3
400,2,1,0,1,5,2,3,3,3
401,2,1,1,1,5,0,2,2,2
402,2,1,1,1,5,0,2,2,2
403,2,0,0,0,5,1,2,2,1
404,2,0,0,0,5,1,2,2,1
405,2,0,0,0,3,1,1,2,1
406,2,0,0,0,5,1,3,3,2
407,2,1,0,1,5,2,2,3,2
408,2,0,0,0,5,1,1,1,1
409,2,0,0,0,3,1,3,2,1
410,2,0,0,0,5,1,1,0,1
411,2,1,0,0,5,0,3,2,1
412,2,0,0,0,5,1,3,3,1
413,2,0,0,0,5,1,3,2,2
414,2,0,0,0,5,1,3,2,2
415,2,1,0,1,5,0,3,2,1
416,2,0,0,0,5,1,1,3,1
417,2,0,0,0,5,1,2,1,1
418,2,0,0,0,3,1,4,1,1
419,2,0,0,0,5,1,2,2,2
420,2,0,0,0,5,1,2,2,2
421,2,0,0,0,5,1,2,2,1
422,2,0,0,0,5,1,2,2,1
423,2,0,0,0,5,1,3,2,1
424,2,0,0,0,5,1,2,2,1
425,2,0,0,0,5,1,5,2,1
426,2,0,0,0,3,1,2,2,1
427,2,0,0,1,3,3,0,2,3
428,2,1,0,1,3,2,2,2,3
429,2,0,0,0,5,1,4,2,1
430,2,1,0,1,5,0,0,3,2
431,2,0,0,0,5,5,2,3,2
432,2,0,0,1,5,1,6,1,1
433,2,0,0,0,3,1,2,1,1
434,2,1,0,1,5,0,0,3,3
435,2,0,0,0,5,1,4,3,3
436,2,1,0,1,5,2,4,3,3
437,2,1,0,1,4,0,2,4,4
438,2,1,0,1,4,0,2,4,4
439,2,0,0,0,4,1,4,4,4
440,2,1,0,1,4,2,4,4,4
441,2,1,0,1,3,2,5,2,1
442,2,0,0,0,3,1,2,4,3
443,2,0,0,0,3,1,3,4,3
444,2,0,0,0,3,1,2,4,3
445,2,1,0,0,5,0,1,2,3
446,2,1,0,1,3,0,1,3,4
447,2,0,0,0,5,1,2,2,4
448,2,0,0,0,5,1,3,2,1
449,2,1,0,1,3,2,5,3,5
450,2,0,0,0,5,1,4,2,1
451,2,0,0,0,5,1,4,3,2
452,2,1,0,1,5,2,2,3,2
453,2,0,0,0,3,1,2,4,1
454,2,0,0,1,4,1,4,2,1
455,2,0,0,0,3,1,6,3,2
456,2,1,0,0,3,2,5,3,2
457,2,0,0,0,5,1,3,2,1
458,2,1,0,1,5,0,1,1,1
459,2,0,0,0,4,1,4,3,2
460,2,1,0,1,4,2,2,3,4
461,2,0,0,0,3,1,4,2,1
462,2,0,0,0,5,1,2,3,3
463,2,0,0,0,5,1,2,3,3
464,2,0,0,0,3,1,3,1,1
465,2,1,1,1,3,2,2,2,1
466,2,0,0,0,5,1,3,3,2
467,2,1,0,1,5,2,2,3,2
468,2,1,0,0,4,2,2,2,1
469,2,1,2,1,4,0,2,2,1
470,2,0,2,0,5,1,3,2,1
471,2,1,0,1,3,2,4,2,1
472,2,0,2,0,4,5,5,2,1
473,2,0,0,0,5,1,1,0,1
474,2,0,0,0,5,1,3,1,1
475,2,1,0,0,5,2,2,3,3
476,2,0,0,0,5,5,2,3,3
477,2,0,2,0,5,1,1,2,1
478,2,1,1,1,3,0,0,3,4
479,2,1,1,1,3,0,0,3,4
480,2,0,1,0,3,1,2,3,4
481,2,1,1,1,3,2,2,3,4
482,2,1,1,1,4,0,1,2,1
483,2,1,0,1,5,0,2,3,1
484,2,1,0,1,5,2,3,1,1
485,2,0,1,0,3,1,3,2,1
486,2,0,0,0,5,1,2,1,1
487,2,0,2,0,4,1,6,2,1
488,2,0,0,0,5,1,4,3,2
489,2,1,0,1,5,2,4,3,2
490,2,1,0,0,4,2,5,1,1
491,2,0,1,0,3,1,1,2,1
492,2,0,1,1,5,3,0,3,3
493,2,0,1,0,5,1,3,3,3
494,2,1,1,1,5,2,2,3,3
495,2,0,1,0,5,1,1,2,1
496,2,0,0,0,5,1,2,2,1
497,2,0,0,0,5,1,3,2,1
498,2,0,0,0,5,1,3,2,1
499,2,0,0,0,5,1,2,2,1
500,2,0,0,0,5,1,4,3,1
501,2,1,0,1,3,0,1,2,2
502,2,1,0,1,3,2,4,2,2
503,2,0,0,1,3,1,1,1,1
504,2,0,0,0,5,1,3,2,1
505,2,0,0,0,5,1,4,2,1
506,2,0,0,0,5,1,6,1,1
507,2,0,0,0,4,5,2,2,1
508,2,0,0,0,3,5,5,2,1
509,2,0,0,0,5,1,3,3,1
510,2,0,0,0,5,1,1,1,1
511,2,0,2,0,5,1,6,1,1
512,2,0,1,0,3,1,3,3,2
513,2,1,1,1,3,2,1,3,2
514,2,0,0,1,5,3,0,3,3
515,2,0,0,1,5,3,0,3,3
516,2,0,0,0,5,1,3,3,3
517,2,0,0,0,5,1,2,2,1
518,2,0,0,0,4,1,1,3,3
519,2,0,0,0,5,1,2,2,1
520,2,0,1,1,3,1,1,2,1
521,2,1,0,1,5,2,2,1,1
522,2,0,0,0,3,1,3,2,1
523,2,0,0,1,5,1,2,1,1
524,2,0,1,1,5,1,1,2,1
525,2,0,0,0,4,5,2,1,1
526,2,0,1,1,5,1,2,2,1
527,2,0,0,0,5,1,2,1,1
528,2,0,0,0,4,1,1,0,1
529,2,1,0,1,3,2,4,3,2
530,2,0,0,0,3,1,1,1,1
531,2,0,1,0,3,1,1,2,1
532,2,0,0,0,3,5,4,2,1
533,2,1,0,1,5,0,2,2,2
534,2,1,0,1,5,0,1,3,1
535,2,0,0,0,5,1,4,2,2
536,2,1,0,1,5,2,3,2,1
537,2,0,0,0,5,1,3,2,1
538,2,0,1,1,5,1,2,2,1
539,2,0,1,0,5,1,2,2,1
540,2,1,0,1,5,0,0,3,3
541,2,1,0,1,5,0,0,3,3
542,2,1,0,1,5,2,3,3,3
543,2,0,0,0,3,1,3,1,1
544,2,0,0,0,5,1,3,2,2
545,2,1,0,1,5,2,2,2,4
546,2,1,0,1,4,0,2,2,1
547,2,0,1,0,5,1,2,2,1
548,2,0,0,1,4,3,0,2,3
549,2,0,0,1,4,3,0,2,3
550,2,1,0,1,4,2,2,2,6
551,2,1,0,1,5,0,4,1,1
552,2,0,0,0,5,1,1,1,1
553,2,1,0,1,5,0,2,1,1
554,2,0,0,0,5,1,2,2,1
555,2,0,0,0,4,1,2,2,1
556,2,0,0,0,5,1,2,3,1
557,2,1,0,1,3,2,2,3,2
558,2,1,0,1,3,0,1,2,3
559,2,1,0,1,4,0,1,3,1
560,2,1,0,1,5,0,2,2,1
561,2,0,0,0,3,1,5,2,1
562,2,1,2,1,5,0,2,2,1
563,2,0,0,0,4,1,3,1,1
564,2,1,0,1,5,0,3,2,1
565,2,0,0,0,5,1,2,2,1
566,2,0,1,0,5,1,4,2,1
567,2,0,0,0,4,1,2,1,1
568,2,0,0,0,5,1,1,2,1
569,2,0,0,0,4,1,1,4,1
570,2,1,0,1,5,0,4,1,1
571,2,0,0,0,3,1,2,2,1
572,2,1,0,1,5,2,2,2,1
573,2,1,0,1,4,0,2,1,1
574,2,0,0,0,5,1,2,2,2
575,2,1,0,0,5,2,2,2,2
576,2,0,0,0,3,1,3,2,1
577,2,1,0,1,3,0,3,2,1
578,2,0,0,0,5,1,2,2,2
579,2,0,0,0,3,1,2,1,2
580,2,1,0,1,5,2,3,2,1
581,2,0,0,0,5,1,1,0,1
582,2,1,0,1,5,0,1,2,1
583,2,1,0,1,5,2,3,2,1
584,2,1,0,1,4,0,3,2,1
585,2,0,0,0,3,1,2,3,2
586,2,1,0,1,3,2,2,3,2
587,2,0,0,1,5,3,0,3,3
588,2,1,0,1,5,0,0,3,3
589,2,1,0,1,5,2,2,3,3
590,2,1,0,1,3,0,0,3,4
591,2,1,0,1,3,0,0,3,4
592,2,0,0,0,3,1,3,3,4
593,2,1,0,1,3,2,3,3,4
594,2,0,0,0,4,1,6,1,1
595,2,0,0,0,4,1,1,2,1
596,2,0,0,1,5,1,3,2,1
597,2,0,0,1,5,1,1,2,1
598,2,1,0,1,3,0,2,2,1
599,2,1,0,0,4,0,2,2,1
600,3,0,0,0,5,1,4,0,1
601,3,0,0,0,6,3,1,2,3
602,3,0,0,0,6,1,1,2,3
603,3,1,0,1,6,2,3,2,3
604,3,1,0,1,6,0,1,0,1
605,3,0,0,1,5,1,2,0,1
606,3,0,0,1,5,1,1,1,1
607,3,1,1,1,5,2,1,0,1
608,3,0,0,0,5,1,2,0,1
609,3,0,0,0,5,1,2,1,1
610,3,1,0,0,6,2,3,1,2
611,3,0,0,1,5,3,0,1,2
612,3,1,0,1,5,2,1,1,2
613,3,0,1,1,4,1,2,2,1
614,3,0,0,0,5,1,2,1,1
615,3,0,0,0,5,1,1,1,1
616,3,0,0,0,5,1,2,0,1
617,3,0,0,0,5,1,2,0,1
618,3,0,0,0,4,1,3,1,1
619,3,0,0,0,4,1,1,1,1
620,3,0,0,0,5,1,3,3,1
621,3,1,0,1,5,0,1,0,2
622,3,0,0,0,5,3,0,3,7
623,3,1,0,0,5,0,0,3,7
624,3,1,0,0,5,0,0,3,7
625,3,1,0,1,4,0,1,1,7
626,3,1,0,0,5,0,3,0,7
627,3,1,0,0,5,0,0,3,7
628,3,1,0,0,5,0,1,3,7
629,3,0,0,0,5,1,3,3,7
630,3,0,0,1,5,1,2,0,1
631,3,0,0,0,5,1,2,0,1
632,3,1,0,0,5,2,3,3,7
633,3,0,0,0,5,1,1,0,1
634,3,0,0,0,6,1,2,1,1
635,3,0,0,0,4,1,2,2,2
636,3,1,0,0,4,2,1,2,2
637,3,0,0,0,6,1,2,0,1
638,3,0,0,0,5,1,3,0,1
639,3,0,0,0,4,3,0,3,7
640,3,0,0,0,4,3,0,3,7
641,3,0,0,1,4,3,0,3,7
642,3,0,0,0,4,3,1,3,7
643,3,1,0,1,4,0,0,3,7
644,3,0,0,0,4,1,3,3,7
645,3,0,0,1,6,1,2,0,1
646,3,1,0,1,4,2,3,3,7
647,3,1,1,1,4,2,4,0,1
648,3,0,1,0,6,1,2,0,1
649,3,0,0,0,5,1,2,0,1
650,3,1,1,0,5,0,1,2,1
651,3,0,1,0,5,1,2,0,1
652,3,0,0,0,6,1,2,0,1
653,3,1,1,1,6,0,1,0,1
654,3,0,1,0,5,1,1,0,1
655,3,0,0,0,6,1,3,2,2
656,3,1,0,1,6,2,3,2,4
657,3,1,1,1,5,0,0,2,4
658,3,1,1,1,5,0,0,2,4
659,3,1,1,1,5,0,0,2,4
660,3,1,1,1,5,2,2,2,4
661,3,1,0,1,5,0,1,1,1
662,3,0,1,0,6,1,3,0,1
663,3,0,0,0,6,1,2,1,1
664,3,0,1,1,6,1,1,0,1
665,3,1,1,0,5,0,1,2,2
666,3,1,1,0,5,2,4,2,2
667,3,1,2,0,6,0,2,1,1
668,3,0,0,0,6,1,2,1,1
669,3,0,0,0,6,1,1,1,1
670,3,0,0,0,5,1,2,0,1
671,3,0,0,0,4,1,2,1,1
672,3,0,1,0,6,3,2,0,1
673,3,0,1,0,6,1,1,0,1
674,3,0,0,1,6,1,3,4,1
675,3,0,0,0,5,1,2,0,1
676,3,0,0,0,5,1,1,0,1
677,3,0,0,0,4,1,2,1,1
678,3,0,1,0,5,3,0,2,3
679,3,1,1,0,5,0,0,2,3
680,3,0,1,0,5,1,2,0,1
681,3,1,1,0,5,2,1,2,3
682,3,1,2,0,6,0,1,0,3
683,3,0,2,0,4,1,3,2,3
684,3,1,2,0,4,2,3,2,3
685,3,0,0,0,6,1,2,2,1
686,3,1,2,1,4,0,2,0,1
687,3,1,0,0,6,0,1,0,1
688,3,0,0,0,6,1,2,0,2
689,3,0,0,0,4,1,2,0,2
690,3,0,0,0,4,1,2,0,1
691,3,0,0,0,5,1,3,1,1
692,3,1,2,0,6,0,1,0,1
693,3,0,2,1,4,1,2,0,1
694,3,0,2,0,5,1,1,0,1
695,3,1,2,0,6,0,1,1,1
